numeroProcesso;classeJudicial;dataChegada;nomeTarefa;descricaoUltimoMovimento;tagsProcessoList;assuntoPrincipal;ultimoMovimento
8000537-12.2019.8.05.0216;ProceComCiv;06/08/2024, 14:09:47; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Indenização por Dano Moral;06/08/2024, 14:09:46
8000726-87.2019.8.05.0216;ExTiEx;06/08/2024, 15:49:24; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Títulos de Crédito;06/08/2024, 15:49:24
8000192-12.2020.8.05.0216;PJEC;07/08/2024, 09:22:13; Documentos não lidos - ANALISAR;Decorrido prazo de COMPANHIA SUL SERGIPANA DE ELETRICIDADE em 09/08/2024 23:59.;digito 00-19;Prestação de Serviços;18/08/2024, 17:57:27
8000386-07.2023.8.05.0216;AlEsp;07/08/2024, 13:36:47; Documentos não lidos - ANALISAR;Publicado Intimação em 08/08/2024.;digito 00-19;Alimentos;21/08/2024, 23:59:40
8000656-07.2018.8.05.0216;TutelaIJ;08/08/2024, 09:28:17; Documentos não lidos - ANALISAR;Juntada de Petição de outros documentos;digito 00-19;Tutela e Curatela;08/08/2024, 10:21:58
8001269-17.2024.8.05.0216;ProceComCiv;09/08/2024, 11:25:25; Documentos não lidos - ANALISAR;Juntada de Petição de procuração;digito 00-19;Obrigação de Fazer / Não Fazer;09/08/2024, 11:25:25
8001418-13.2024.8.05.0216;ProceComCiv;09/08/2024, 13:59:32; Documentos não lidos - ANALISAR;Expedição de intimação.;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, digito 00-19;PASEP;19/08/2024, 10:06:23
8000907-15.2024.8.05.0216;ExeAliIJ;13/08/2024, 08:32:32; Documentos não lidos - ANALISAR;Publicado Intimação em 14/08/2024.;CPF REU NULO, digito 00-19;Fixação;26/08/2024, 05:45:35
8001392-15.2024.8.05.0216;AlEsp;13/08/2024, 11:12:35; Documentos não lidos - ANALISAR;Juntada de Aviso de recebimento (AR); INCLUI  em pauta de audiência UNA de CONCILIAÇÃO e INSTRUÇÃO., digito 00-19;Fixação;23/08/2024, 10:16:04
8000484-02.2017.8.05.0216;ProSum;13/08/2024, 11:38:15; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Direito de Imagem;13/08/2024, 11:38:14
8000390-15.2021.8.05.0216;DivLit;14/08/2024, 09:14:51; Documentos não lidos - ANALISAR;Juntada de ata da audiência;digito 00-19;Bem de Família (Voluntário);20/08/2024, 16:48:48
8000984-92.2022.8.05.0216;AlEsp;14/08/2024, 13:11:42; Documentos não lidos - ANALISAR;Juntada de Petição de 8000984_92.2022.8.05.0216_Parecer_alimentos_;CPF REU NULO, digito 80-99;Alimentos;10/06/2024, 09:47:09
8002249-95.2023.8.05.0216;PJEC;14/08/2024, 22:47:20; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99, Juízo 100% digital;Indenização por Dano Material;14/08/2024, 22:47:20
8001245-86.2024.8.05.0216;PetCiv;15/08/2024, 18:49:51; Documentos não lidos - ANALISAR;Juntada de Aviso de recebimento (AR);digito 80-99;Empréstimo consignado;01/08/2024, 09:21:22
8001737-15.2023.8.05.0216;ACPCiv;16/08/2024, 06:16:52; Documentos não lidos - ANALISAR;Juntada de Petição de Documento_1;AMBIENTAL, digito 00-19;DIREITO AMBIENTAL;16/08/2024, 06:16:51
0000317-92.2015.8.05.0216;ProceComCiv;16/08/2024, 08:31:05; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Direito de Imagem;16/08/2024, 08:31:03
8001038-87.2024.8.05.0216;DivCons;16/08/2024, 09:31:26; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Dissolução;20/08/2024, 13:13:06
8000683-82.2021.8.05.0216;AlEsp;16/08/2024, 11:18:21; Documentos não lidos - ANALISAR;Juntada de Petição de petição;AMBAS PARTES SEM CPF, brbjus, digito 80-99;Alimentos;16/08/2024, 11:18:20
8000095-80.2018.8.05.0216;BAAF;18/08/2024, 11:25:07; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Alienação Fiduciária;18/08/2024, 11:25:06
8001056-11.2024.8.05.0216;Invent;19/08/2024, 10:11:44; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Inventário e Partilha;19/08/2024, 10:11:43
0000954-19.2010.8.05.0216;ProceComCiv;19/08/2024, 11:20:50; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Dívida Ativa (Execução Fiscal);19/08/2024, 11:20:49
8001457-10.2024.8.05.0216;PetCiv;19/08/2024, 15:05:48; Documentos não lidos - ANALISAR;Mandado devolvido entregue ao destinatário;AUDIÊNCIA DE INSTRUÇÃO DESIGNADA, digito 00-19;Nomeação;23/08/2024, 14:45:24
8001537-08.2023.8.05.0216;ProceComCiv;19/08/2024, 15:27:37; Documentos não lidos - ANALISAR;Decorrido prazo de PAULA SOUZA DOS SANTOS em 23/08/2024 23:59.;digito 00-19;Correção Monetária;25/08/2024, 01:41:55
0000978-08.2014.8.05.0216;CumSen;19/08/2024, 15:34:10; Documentos não lidos - ANALISAR;Extinta a execução ou o cumprimento da sentença;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, brbjus, digito 00-19;Levantamento de Valor;21/08/2024, 16:14:16
8001465-84.2024.8.05.0216;Interd;19/08/2024, 15:36:58; Documentos não lidos - ANALISAR;Juntada de Petição de petição;AUDIÊNCIA DE INSTRUÇÃO DESIGNADA, digito 80-99;Nomeação;26/08/2024, 18:33:46
8001315-06.2024.8.05.0216;ProceComCiv;19/08/2024, 16:34:39; Documentos não lidos - ANALISAR;Expedição de intimação.;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, digito 00-19;PASEP;19/08/2024, 09:09:31
8001068-93.2022.8.05.0216;PJEC;19/08/2024, 16:59:57; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99, Juízo 100% digital;Obrigação de Fazer / Não Fazer;19/08/2024, 16:59:56
8000087-06.2018.8.05.0216;ExTiEx;20/08/2024, 09:12:01; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Contratos Bancários;20/08/2024, 09:11:58
8000417-03.2018.8.05.0216;BAAF;20/08/2024, 15:58:06; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Alienação Fiduciária;07/12/2023, 08:25:50
8000263-19.2017.8.05.0216;ProceComCiv;21/08/2024, 10:38:47; Documentos não lidos - ANALISAR;Juntada de Petição de pedido de utilização sisbajud;brbjus, digito 00-19;Indenização por Dano Moral;21/08/2024, 10:38:47
0000007-05.1986.8.05.0216;Invent;21/08/2024, 10:50:14; Documentos não lidos - ANALISAR;Proferido despacho de mero expediente;ADOCAO, digito 00-19, UNIJUD, Urgente;Adoção de Maior;26/08/2024, 10:37:19
0001525-87.2010.8.05.0216;ProceComCiv;21/08/2024, 14:19:24; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Contratos Bancários;22/08/2024, 14:54:29
8001536-86.2024.8.05.0216;DivCons;21/08/2024, 22:09:50; Documentos não lidos - ANALISAR;Publicado Intimação em 22/08/2024.;digito 80-99, Juízo 100% digital;Dissolução;25/08/2024, 01:44:35
8000258-21.2022.8.05.0216;Invent;22/08/2024, 10:55:42; Documentos não lidos - ANALISAR;Publicado Intimação em 16/08/2024.;;Administração de herança;26/08/2024, 04:35:04
8000708-03.2018.8.05.0216;ProceComCiv;22/08/2024, 11:31:59; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Indenização por Dano Moral;27/08/2024, 15:49:56
8001087-31.2024.8.05.0216;AlEsp;22/08/2024, 17:18:40; Documentos não lidos - ANALISAR;Juntada de Petição de petição;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, Juízo 100% digital;Revisão;22/08/2024, 17:18:38
8000364-12.2024.8.05.0216;ProceComCiv;23/08/2024, 14:47:01; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISA. DISPENSA DE RECURSO.; INCLUI  em pauta de audiência UNA de CONCILIAÇÃO e INSTRUÇÃO., digito 00-19;Investigação de Paternidade;23/08/2024, 14:47:01
8001545-19.2022.8.05.0216;ProceComCiv;23/08/2024, 14:59:36; Documentos não lidos - ANALISAR;Juntada de Petição de PARECER_NÃO INTERVENÇÃO. RECOMENDAÇÃO 34_2016 CNMP;digito 00-19;Municipais;23/08/2024, 14:59:35
8000263-09.2023.8.05.0216;AlEsp;23/08/2024, 15:01:07; Documentos não lidos - ANALISAR;Juntada de Petição de PARECER. PARTE AUTORA NÃO ENCONTRADA. ABANDONO. EXTINÇÃO;AUDIÊNCIA DESIGNADA, CPF REU NULO, digito 00-19;Alimentos;23/08/2024, 15:01:07
8000550-11.2019.8.05.0216;ProceComCiv;23/08/2024, 15:52:58; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Indenização por Dano Moral;23/08/2024, 15:52:57
8001310-81.2024.8.05.0216;ProceComCiv;23/08/2024, 17:57:59; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99, Juízo 100% digital, SAUDE;Obrigação de Fazer / Não Fazer;27/08/2024, 23:41:58
8000817-07.2024.8.05.0216;DivLit;23/08/2024, 20:46:18; Documentos não lidos - ANALISAR;Juntada de Petição de réplica;CPF REU NULO, digito 00-19;Dissolução;23/08/2024, 20:46:17
8000404-91.2024.8.05.0216;ACPCiv;26/08/2024, 09:01:37; Documentos não lidos - ANALISAR;Juntada de Petição de documentação;digito 80-99;Conselho de Direitos da Criança e Adolescente;26/08/2024, 09:01:36
8001474-80.2023.8.05.0216;PJEC;26/08/2024, 09:21:48; Documentos não lidos - ANALISAR;Juntada de Petição de petição;AUDIÊNCIA DE INSTRUÇÃO DESIGNADA, digito 80-99;Indenização por Dano Material;26/08/2024, 09:21:47
8001531-64.2024.8.05.0216;Interd;26/08/2024, 10:41:45; Documentos não lidos - ANALISAR;Juntada de Petição de Documento_1;digito 60-79, Idoso ou Vulnerável;Nomeação;26/08/2024, 10:41:44
8001376-61.2024.8.05.0216;ProceComCiv;26/08/2024, 11:58:17; Documentos não lidos - ANALISAR;Juntada de Petição de procuração;digito 60-79;PASEP;26/08/2024, 11:58:02
8001123-73.2024.8.05.0216;ProceComCiv;26/08/2024, 15:30:23; Documentos não lidos - ANALISAR;Juntada de Petição de contestação;digito 60-79;Direito de Imagem;26/08/2024, 15:33:11
8000320-08.2015.8.05.0216;ExTiEx;26/08/2024, 15:54:14; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Cédula de Crédito Bancário;26/08/2024, 15:54:13
8000286-91.2019.8.05.0216;ProceComCiv;26/08/2024, 16:46:30; Documentos não lidos - ANALISAR;Juntada de Petição de substabelecimento;digito 80-99;Imissão na Posse;26/08/2024, 16:46:29
8001071-77.2024.8.05.0216;EEFis;26/08/2024, 17:39:55; Documentos não lidos - ANALISAR;Juntada de Petição de impugnação aos embargos;digito 60-79;Taxa de Licenciamento de Estabelecimento;26/08/2024, 17:45:43
8000185-78.2024.8.05.0216;PJEC;26/08/2024, 18:57:35; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 60-79, JUIZADO ESPECIAL, Juízo 100% digital;Inclusão Indevida em Cadastro de Inadimplentes;26/08/2024, 18:57:35
8001323-80.2024.8.05.0216;ProceComCiv;26/08/2024, 20:46:50; Documentos não lidos - ANALISAR;Juntada de Petição de embargos de declaração;digito 80-99;PASEP;26/08/2024, 20:46:48
8000664-81.2018.8.05.0216;ProceComCiv;27/08/2024, 09:33:56; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Indenização por Dano Moral;27/08/2024, 09:33:55
8002220-45.2023.8.05.0216;Usucap;27/08/2024, 11:03:03; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 40-59, Juízo 100% digital;Usucapião Especial (Constitucional);27/08/2024, 11:03:03
8000469-23.2023.8.05.0216;AlEsp;27/08/2024, 11:20:45; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISA. DISPENSA DE RECURSO.;CPF REU NULO, digito 20-39;Alimentos;27/08/2024, 11:20:44
8000405-76.2024.8.05.0216;ACPCiv;27/08/2024, 11:38:46; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISA. DISPENSA DE RECURSO.;CPF REU NULO, digito 60-79, Idoso ou Vulnerável;Conselho do Idoso;27/08/2024, 11:38:45
8001802-10.2023.8.05.0216;BAAF;27/08/2024, 11:40:15; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19, etiqueta temporaria;Alienação Fiduciária;27/08/2024, 11:40:06
8001104-67.2024.8.05.0216;ACPCiv;27/08/2024, 11:51:32; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISÃO;digito 60-79, SAUDE;Consulta;27/08/2024, 11:51:32
0001305-31.2006.8.05.0216;ProceComCiv;27/08/2024, 12:36:50; Documentos não lidos - ANALISAR;Conclusos para despacho;digito 20-39;Busca e Apreensão;24/03/2023, 08:30:01
8000297-28.2016.8.05.0216;ProceComCiv;27/08/2024, 13:42:21; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 20-39;Indenização por Dano Moral;27/08/2024, 13:42:21
8000743-50.2024.8.05.0216;PJEC;27/08/2024, 13:44:25; Documentos não lidos - ANALISAR;Juntada de Petição de réplica;AUDIÊNCIA DE INSTRUÇÃO DESIGNADA, digito 40-59, Juízo 100% digital;Empréstimo consignado;28/08/2024, 09:25:05
0001047-74.2013.8.05.0216;Usucap;27/08/2024, 14:45:48; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 60-79;Usucapião Especial (Constitucional);27/08/2024, 14:45:47
8001627-84.2021.8.05.0216;ProceComCiv;27/08/2024, 14:50:47; Documentos não lidos - ANALISAR;Juntada de Petição de outros documentos;digito 80-99;Indenização por Dano Moral;27/08/2024, 14:50:47
8000364-90.2016.8.05.0216;BusApr;27/08/2024, 15:24:48; Documentos não lidos - ANALISAR;Juntada de Petição de petição;COBRAR CUSTAS, digito 80-99;Alienação Fiduciária;27/08/2024, 15:24:47
8000168-23.2016.8.05.0216;AlEsp;27/08/2024, 15:32:48; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 20-39;Revisão;27/08/2024, 15:32:48
8001238-75.2016.8.05.0216;ExFis;27/08/2024, 17:59:23; Documentos não lidos - ANALISAR;Juntada de Petição de Petição;digito 60-79;Contribuição sobre Nota Fiscal de Execução de Serviços;27/08/2024, 17:59:22
8001317-73.2024.8.05.0216;ProceComCiv;27/08/2024, 18:59:50; Documentos não lidos - ANALISAR;Juntada de Petição de embargos de declaração;digito 60-79;PASEP;27/08/2024, 18:59:48
8001325-50.2024.8.05.0216;ProceComCiv;27/08/2024, 19:01:56; Documentos não lidos - ANALISAR;Juntada de Petição de embargos de declaração;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, digito 40-59;PASEP;27/08/2024, 19:01:54
8000754-79.2024.8.05.0216;PJEC;27/08/2024, 19:41:12; Documentos não lidos - ANALISAR;Juntada de Petição de substabelecimento;AUDIÊNCIA DE INSTRUÇÃO DESIGNADA, digito 60-79, Juízo 100% digital;Empréstimo consignado;27/08/2024, 19:41:12
8000798-98.2024.8.05.0216;PJEC;27/08/2024, 21:34:56; Documentos não lidos - ANALISAR;Juntada de Petição de contestação;Aud. Conciliação, digito 80-99;Rescisão do contrato e devolução do dinheiro;27/08/2024, 21:34:55
8000011-79.2018.8.05.0216;ProceComCiv;27/08/2024, 22:15:16; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 60-79;Indenização por Dano Moral;23/08/2024, 09:25:12
8000622-27.2021.8.05.0216;PetCiv;27/08/2024, 22:58:54; Documentos não lidos - ANALISAR;Juntada de Petição de petição;brbjus, digito 20-39;Obrigações;27/08/2024, 22:58:53
0000485-31.2014.8.05.0216;ProceComCiv;28/08/2024, 02:26:07; Documentos não lidos - ANALISAR;Ato ordinatório praticado;digito 20-39;Desconto em folha de pagamento;31/08/2023, 13:15:40
8001319-43.2024.8.05.0216;ProceComCiv;28/08/2024, 08:18:04; Documentos não lidos - ANALISAR;Juntada de Petição de embargos de declaração;AGUARDANDO TRANSITO EM JULGADO - COM CUSTAS, digito 40-59;PASEP;28/08/2024, 08:18:04
8000192-70.2024.8.05.0216;AlEsp;28/08/2024, 08:39:56; Documentos não lidos - ANALISAR;Juntada de Petição de 8000192_70_2024.8.05.0216_ALIMENTOS_PARECER;CPF REU NULO, digito 60-79;Fixação;28/08/2024, 08:39:55
8000970-40.2024.8.05.0216;ProceComCiv;28/08/2024, 08:49:20; Documentos não lidos - ANALISAR;Juntada de Petição de petição;Aud. Conciliação, digito 40-59, Juízo 100% digital;Inclusão Indevida em Cadastro de Inadimplentes;28/08/2024, 08:49:20
8000828-41.2021.8.05.0216;RSRRC;28/08/2024, 10:50:00; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 40-59;Retificação de Nome;28/08/2024, 10:50:00
8000213-46.2024.8.05.0216;MSCiv;28/08/2024, 11:14:29; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISA. DISPENSA DE RECURSO.;digito 40-59, Juízo 100% digital;Apreensão;28/08/2024, 11:14:28
8000507-35.2023.8.05.0216;Interd;28/08/2024, 11:25:29; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISA. DISPENSA DE RECURSO.;digito 20-39;Nomeação;28/08/2024, 11:25:28
0552539-72.2017.8.05.0001;AlEsp;16/01/2024, 20:58:01;(CI) Processos arquivados;Baixa Definitiva;digito 60-79;Alimentos;16/01/2024, 20:58:01
8001134-05.2024.8.05.0216;AlEsp;25/07/2024, 16:51:11;(CPJ) Audiência - DESIGNAR;Conclusos para decisão;AUDIÊNCIA DE CONCILIAÇÃO DESIGNADA, digito 00-19;Fixação;21/08/2024, 11:58:13
8000589-66.2023.8.05.0216;PJEC;21/08/2024, 09:36:24;(CPJ) Audiência - DESIGNAR;Desentranhado o documento;Aud. Conciliação, digito 60-79;Abatimento proporcional do preço;21/08/2024, 09:41:16
0000199-24.2012.8.05.0216;ExFis;23/07/2024, 16:30:35;(EF) Arquivado - Definitivo;Baixa Definitiva;digito 20-39;Efeito Suspensivo / Impugnação / Embargos à Execução;23/07/2024, 16:30:35
8000741-56.2019.8.05.0216;ExFis;23/08/2024, 10:45:32;(EF) Arquivar processo;Juntada de Petição de outros documentos;AGUARDANDO PAGAMENTO DE CUSTAS, digito 40-59;Dívida Ativa (Execução Fiscal);19/07/2024, 10:04:30
8000117-31.2024.8.05.0216;ExFis;08/08/2024, 19:59:24;(EF) Preparar ato de cartório;Decorrido prazo de ESTADO DA BAHIA em 16/07/2024 23:59.;COBRAR CUSTAS, digito 20-39;Dívida Ativa (Execução Fiscal);17/07/2024, 20:38:53
8000421-69.2020.8.05.0216;ExFis;19/07/2024, 09:51:39;(EF) Verificar providências a adotar;Juntada de Petição de outros documentos;AGUARDANDO PAGAMENTO DE CUSTAS, digito 60-79;ICMS/ Imposto sobre Circulação de Mercadorias;19/07/2024, 10:28:19
8000495-94.2018.8.05.0216;ExFis;22/08/2024, 09:05:45;(EF) Verificar providências a adotar;Juntada de Edital;digito 80-99;Dívida Ativa (Execução Fiscal);21/08/2024, 08:32:52
0001144-40.2014.8.05.0216;CumSen;07/08/2020, 10:45:28;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;;07/08/2020, 10:45:27
0001653-68.2014.8.05.0216;CumSen;29/03/2021, 12:07:11;Aguardando apreciação pela instância superior;Baixa Definitiva;digito 60-79;;30/08/2019, 10:54:57
0001427-39.2009.8.05.0216;CumSen;31/08/2021, 16:07:42;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 20-39;;31/08/2021, 16:07:40
0001438-29.2013.8.05.0216;ProceComCiv;20/01/2023, 11:28:04;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 20-39;Revisão;20/01/2023, 11:28:04
8000133-29.2017.8.05.0216;ProcComIJ;26/01/2023, 14:08:32;Aguardando apreciação pela instância superior;Publicado Intimação em 15/12/2022.;digito 20-39;Espécies de Contratos;22/02/2023, 09:44:14
8000477-44.2016.8.05.0216;ProceComCiv;22/03/2023, 11:58:09;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;Empréstimo consignado;22/03/2023, 11:58:09
8000026-09.2022.8.05.0216;PetCiv;28/03/2023, 16:55:59;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 00-19;Contratos Bancários;28/03/2023, 16:55:59
0000495-75.2014.8.05.0216;ProceComCiv;30/03/2023, 23:55:39;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 60-79;Direito de Imagem;30/03/2023, 23:55:39
8000161-26.2019.8.05.0216;RtMtPosse;28/04/2023, 11:02:02;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 20-39;Esbulho / Turbação / Ameaça;28/04/2023, 11:02:02
8000681-49.2020.8.05.0216;CumSen;14/05/2023, 22:31:32;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;;14/05/2023, 22:31:32
0001712-90.2013.8.05.0216;CumSen;14/05/2023, 22:52:38;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 80-99;;14/05/2023, 22:52:38
0001337-55.2014.8.05.0216;ProceComCiv;30/05/2023, 13:52:20;Aguardando apreciação pela instância superior;Publicado Intimação em 31/05/2023.;digito 40-59;Indenização por Dano Material;01/06/2023, 10:48:01
0001123-64.2014.8.05.0216;ProceComCiv;31/05/2023, 20:55:04;Aguardando apreciação pela instância superior;Publicado Intimação em 02/06/2023.;digito 60-79;Irregularidade no atendimento;03/06/2023, 05:55:50
0001342-77.2014.8.05.0216;ProceComCiv;31/05/2023, 21:01:01;Aguardando apreciação pela instância superior;Publicado Intimação em 02/06/2023.;digito 60-79;Direito de Imagem;03/06/2023, 10:59:31
0000655-66.2015.8.05.0216;CumSen;04/07/2023, 10:08:02;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 60-79;;04/07/2023, 10:08:01
0000140-65.2014.8.05.0216;ProceComCiv;13/07/2023, 10:43:58;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 60-79;Direito de Imagem;13/07/2023, 10:43:58
0000672-05.2015.8.05.0216;ProceComCiv;13/07/2023, 13:30:09;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 00-19;Direito de Imagem;13/07/2023, 13:30:09
8000253-09.2016.8.05.0216;ProSum;28/07/2023, 14:46:53;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 00-19;Indenização por Dano Moral;28/07/2023, 14:46:52
8000130-35.2021.8.05.0216;AlEsp;04/08/2023, 09:24:18;Aguardando apreciação pela instância superior;Remetidos os Autos (em diligência) para o 2º Grau;digito 20-39;Abandono Material;04/08/2023, 09:24:18
0000483-66.2011.8.05.0216;ProceComCiv;29/08/2023, 11:09:29;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 60-79;Fornecimento de Energia Elétrica;29/08/2023, 11:09:29
8000175-78.2017.8.05.0216;ProceComCiv;30/08/2023, 10:46:01;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 60-79;Indenização por Dano Moral;30/08/2023, 10:46:01
0000662-58.2015.8.05.0216;ProceComCiv;01/09/2023, 10:58:27;Aguardando apreciação pela instância superior;Publicado Intimação em 04/09/2023.;digito 40-59;Direito de Imagem;17/10/2023, 21:07:21
0000723-50.2014.8.05.0216;ProceComCiv;05/09/2023, 10:40:04;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;Indenização por Dano Moral;05/09/2023, 10:40:04
0000904-51.2014.8.05.0216;ProceComCiv;05/09/2023, 12:38:53;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;Indenização por Dano Moral;05/09/2023, 12:38:53
8000082-52.2016.8.05.0216;ProSum;05/09/2023, 13:06:57;Aguardando apreciação pela instância superior;Remetidos os Autos (em grau de recurso) para o 2º Grau;digito 40-59;Indenização por Dano Moral;05/09/2023, 13:06:57
